Benchmark,Accuracy(%),MPKI
400.perlbench-41B.champsimtrace.xz,96.35,7.498
400.perlbench-50B.champsimtrace.xz,95.94,8.801
401.bzip2-226B.champsimtrace.xz,91.75,9.676
401.bzip2-277B.champsimtrace.xz,88.14,18.75
401.bzip2-38B.champsimtrace.xz,96.12,4.587
401.bzip2-7B.champsimtrace.xz,91.52,12.73
403.gcc-16B.champsimtrace.xz,99.75,0.4844
403.gcc-17B.champsimtrace.xz,95.75,9.221
403.gcc-48B.champsimtrace.xz,99.66,0.7584
429.mcf-184B.champsimtrace.xz,90.25,23.39
429.mcf-192B.champsimtrace.xz,90.88,21.91
429.mcf-217B.champsimtrace.xz,98.11,2.148
429.mcf-22B.champsimtrace.xz,97.24,2.383
429.mcf-51B.champsimtrace.xz,85.84,34.16
445.gobmk-17B.champsimtrace.xz,86.41,24.08
445.gobmk-2B.champsimtrace.xz,89.33,20.87
445.gobmk-30B.champsimtrace.xz,86.27,25.07
445.gobmk-36B.champsimtrace.xz,87.35,22.95
458.sjeng-1088B.champsimtrace.xz,86.06,30.85
458.sjeng-31B.champsimtrace.xz,87.78,27.58
458.sjeng-767B.champsimtrace.xz,87.38,27.99
471.omnetpp-188B.champsimtrace.xz,93.4,15.9
473.astar-153B.champsimtrace.xz,78.21,28.45
473.astar-359B.champsimtrace.xz,90.69,18.37
473.astar-42B.champsimtrace.xz,72.23,52.37
